, def, a_CT_TableStyleList, http://purl.oclc.org/ooxml/drawingml/main, tblStyleLst
, name, a_CT_OfficeStyleSheet, http://purl.oclc.org/ooxml/drawingml/main, theme
, uniqueId, ddgrm_CT_ColorTransform, http://purl.oclc.org/ooxml/drawingml/diagram, colorsDef
, minVer, ddgrm_CT_ColorTransform, http://purl.oclc.org/ooxml/drawingml/diagram, colorsDef
, uniqueId, ddgrm_CT_DiagramDefinition, http://purl.oclc.org/ooxml/drawingml/diagram, layoutDef
, minVer, ddgrm_CT_DiagramDefinition, http://purl.oclc.org/ooxml/drawingml/diagram, layoutDef
, defStyle, ddgrm_CT_DiagramDefinition, http://purl.oclc.org/ooxml/drawingml/diagram, layoutDef
, uniqueId, ddgrm_CT_StyleDefinition, http://purl.oclc.org/ooxml/drawingml/diagram, styleDef
, minVer, ddgrm_CT_StyleDefinition, http://purl.oclc.org/ooxml/drawingml/diagram, styleDef
http://purl.oclc.org/ooxml/officeDocument/customXml, itemID, ds_CT_DatastoreItem, http://purl.oclc.org/ooxml/officeDocument/customXml, datastoreItem
, showMasterSp, p_AG_ChildSlide, http://purl.oclc.org/ooxml/presentationml/main, notes
, showMasterPhAnim, p_AG_ChildSlide, http://purl.oclc.org/ooxml/presentationml/main, notes
, serverZoom, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, firstSlideNum, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, showSpecialPlsOnTitleSld, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, rtl, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, removePersonalInfoOnSave, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, compatMode, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, strictFirstAndLastChars, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, embedTrueTypeFonts, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, saveSubsetFonts, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, autoCompressPictures, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, bookmarkIdSeed, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, conformance, p_CT_Presentation, http://purl.oclc.org/ooxml/presentationml/main, presentation
, showMasterSp, p_AG_ChildSlide, http://purl.oclc.org/ooxml/presentationml/main, sld
, showMasterPhAnim, p_AG_ChildSlide, http://purl.oclc.org/ooxml/presentationml/main, sld
, show, p_CT_Slide, http://purl.oclc.org/ooxml/presentationml/main, sld
, showMasterSp, p_AG_ChildSlide, http://purl.oclc.org/ooxml/presentationml/main, sldLayout
, showMasterPhAnim, p_AG_ChildSlide, http://purl.oclc.org/ooxml/presentationml/main, sldLayout
, matchingName, p_CT_SlideLayout, http://purl.oclc.org/ooxml/presentationml/main, sldLayout
, type, p_CT_SlideLayout, http://purl.oclc.org/ooxml/presentationml/main, sldLayout
, preserve, p_CT_SlideLayout, http://purl.oclc.org/ooxml/presentationml/main, sldLayout
, userDrawn, p_CT_SlideLayout, http://purl.oclc.org/ooxml/presentationml/main, sldLayout
, preserve, p_CT_SlideMaster, http://purl.oclc.org/ooxml/presentationml/main, sldMaster
, serverSldId, p_CT_SlideSyncProperties, http://purl.oclc.org/ooxml/presentationml/main, sldSyncPr
, serverSldModifiedTime, p_CT_SlideSyncProperties, http://purl.oclc.org/ooxml/presentationml/main, sldSyncPr
, clientInsertedTime, p_CT_SlideSyncProperties, http://purl.oclc.org/ooxml/presentationml/main, sldSyncPr
, lastView, p_CT_ViewProperties, http://purl.oclc.org/ooxml/presentationml/main, viewPr
