,def,a_CT_TableStyleList,http://schemas.openxmlformats.org/drawingml/2006/main,tblStyleLst
,name,a_CT_OfficeStyleSheet,http://schemas.openxmlformats.org/drawingml/2006/main,theme
,uniqueId,ddgrm_CT_ColorTransform,http://schemas.openxmlformats.org/drawingml/2006/diagram,colorsDef
,minVer,ddgrm_CT_ColorTransform,http://schemas.openxmlformats.org/drawingml/2006/diagram,colorsDef
,uniqueId,ddgrm_CT_DiagramDefinition,http://schemas.openxmlformats.org/drawingml/2006/diagram,layoutDef
,minVer,ddgrm_CT_DiagramDefinition,http://schemas.openxmlformats.org/drawingml/2006/diagram,layoutDef
,defStyle,ddgrm_CT_DiagramDefinition,http://schemas.openxmlformats.org/drawingml/2006/diagram,layoutDef
,uniqueId,ddgrm_CT_StyleDefinition,http://schemas.openxmlformats.org/drawingml/2006/diagram,styleDef
,minVer,ddgrm_CT_StyleDefinition,http://schemas.openxmlformats.org/drawingml/2006/diagram,styleDef
http://schemas.openxmlformats.org/officeDocument/2006/customXml,itemID,ds_CT_DatastoreItem,http://schemas.openxmlformats.org/officeDocument/2006/customXml,datastoreItem
,showMasterSp,p_AG_ChildSlide,http://schemas.openxmlformats.org/presentationml/2006/main,notes
,showMasterPhAnim,p_AG_ChildSlide,http://schemas.openxmlformats.org/presentationml/2006/main,notes
,serverZoom,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,firstSlideNum,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,showSpecialPlsOnTitleSld,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,rtl,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,removePersonalInfoOnSave,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,compatMode,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,strictFirstAndLastChars,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,embedTrueTypeFonts,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,saveSubsetFonts,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,autoCompressPictures,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,bookmarkIdSeed,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,conformance,p_CT_Presentation,http://schemas.openxmlformats.org/presentationml/2006/main,presentation
,showMasterSp,p_AG_ChildSlide,http://schemas.openxmlformats.org/presentationml/2006/main,sld
,showMasterPhAnim,p_AG_ChildSlide,http://schemas.openxmlformats.org/presentationml/2006/main,sld
,show,p_CT_Slide,http://schemas.openxmlformats.org/presentationml/2006/main,sld
,showMasterSp,p_AG_ChildSlide,http://schemas.openxmlformats.org/presentationml/2006/main,sldLayout
,showMasterPhAnim,p_AG_ChildSlide,http://schemas.openxmlformats.org/presentationml/2006/main,sldLayout
,matchingName,p_CT_SlideLayout,http://schemas.openxmlformats.org/presentationml/2006/main,sldLayout
,type,p_CT_SlideLayout,http://schemas.openxmlformats.org/presentationml/2006/main,sldLayout
,preserve,p_CT_SlideLayout,http://schemas.openxmlformats.org/presentationml/2006/main,sldLayout
,userDrawn,p_CT_SlideLayout,http://schemas.openxmlformats.org/presentationml/2006/main,sldLayout
,preserve,p_CT_SlideMaster,http://schemas.openxmlformats.org/presentationml/2006/main,sldMaster
,serverSldId,p_CT_SlideSyncProperties,http://schemas.openxmlformats.org/presentationml/2006/main,sldSyncPr
,serverSldModifiedTime,p_CT_SlideSyncProperties,http://schemas.openxmlformats.org/presentationml/2006/main,sldSyncPr
,clientInsertedTime,p_CT_SlideSyncProperties,http://schemas.openxmlformats.org/presentationml/2006/main,sldSyncPr
,lastView,p_CT_ViewProperties,http://schemas.openxmlformats.org/presentationml/2006/main,viewPr
,showComments,p_CT_ViewProperties,http://schemas.openxmlformats.org/presentationml/2006/main,viewPr
,SelectedStyle,shrdBib_CT_Sources,http://schemas.openxmlformats.org/officeDocument/2006/bibliography,Sources
,StyleName,shrdBib_CT_Sources,http://schemas.openxmlformats.org/officeDocument/2006/bibliography,Sources
,URI,shrdBib_CT_Sources,http://schemas.openxmlformats.org/officeDocument/2006/bibliography,Sources
,guid,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,lastGuid,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,shared,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,diskRevisions,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,history,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,trackRevisions,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,exclusive,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,revisionId,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,version,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,keepChangeHistory,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,protected,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,preserveHistory,sml_CT_RevisionHeaders,http://schemas.openxmlformats.org/spreadsheetml/2006/main,headers
,SelectionNamespaces,sml_CT_MapInfo,http://schemas.openxmlformats.org/spreadsheetml/2006/main,MapInfo
http://schemas.openxmlformats.org/officeDocument/2006/relationships,id,r_id,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,invalid,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,saveData,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,refreshOnLoad,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,optimizeMemory,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,enableRefresh,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,refreshedBy,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,refreshedDate,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,refreshedDateIso,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,backgroundQuery,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,missingItemsLimit,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,createdVersion,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,refreshedVersion,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,minRefreshableVersion,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,recordCount,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,upgradeOnRefresh,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,tupleCache,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,supportSubquery,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,supportAdvancedDrill,sml_CT_PivotCacheDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheDefinition
,count,sml_CT_PivotCacheRecords,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotCacheRecords
,name,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,cacheId,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,dataOnRows,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,dataPosition,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,autoFormatId,sml_AG_AutoFormat,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,applyNumberFormats,sml_AG_AutoFormat,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,applyBorderFormats,sml_AG_AutoFormat,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,applyFontFormats,sml_AG_AutoFormat,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,applyPatternFormats,sml_AG_AutoFormat,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,applyAlignmentFormats,sml_AG_AutoFormat,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
