attribute ns name, attribute local name, defind by, element ns name, element local name
http://schemas.openxmlformats.org/wordprocessingml/2006/main, val, w_CT_OnOff,,
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, active
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, adjustLineHeightInTable
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, adjustRightInd
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, alignBordersAndEdges
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, alignTablesRowByRow
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, allowPNG
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, allowSpaceOfSameStyleInTable
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, alwaysMergeEmptyNamespace
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, alwaysShowPlaceholderText
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, applyBreakingRules
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, autoFormatOverride
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, autoHyphenation
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, autoRedefine
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, autoSpaceDE
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, autoSpaceDN
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, autoSpaceLikeWord95
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, autofitToFirstFixedWidthCell
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, b
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, bCs
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, balanceSingleByteDoubleByteWidth
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, bidi
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, bidiVisual
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, blockQuote
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, bodyDiv
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, bookFoldPrinting
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, bookFoldRevPrinting
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, bordersDoNotSurroundFooter
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, bordersDoNotSurroundHeader
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, cachedColBalance
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, calcOnExit
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, cantSplit
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, caps
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, checked
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, contextualSpacing
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, convMailMergeEsc
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, cs
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, default
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, dirty
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, displayBackgroundShape
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, displayHangulFixedWidth
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotAutoCompressPictures
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotAutofitConstrainedTables
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotBreakConstrainedForcedTable
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotBreakWrappedTables
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotDemarcateInvalidXml
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotDisplayPageBoundaries
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotEmbedSmartTags
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotExpandShiftReturn
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotHyphenateCaps
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotIncludeSubdocsInStats
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotLeaveBackslashAlone
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotOrganizeInFolder
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotRelyOnCSS
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotSaveAsSingleFile
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotShadeFormData
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotSnapToGridInCell
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotSuppressBlankLines
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotSuppressIndentation
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotSuppressParagraphBorders
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotTrackFormatting
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotTrackMoves
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotUseEastAsianBreakRules
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotUseHTMLParagraphAutoSpacing
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotUseIndentAsNumberingTabStop
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotUseLongFileNames
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotUseMarginsForDrawingGridOrigin
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotValidateAgainstSchema
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotVertAlignCellWithSp
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotVertAlignInTxbx
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, doNotWrapTextWithPunct
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, docPartUnique
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, dstrike
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, dynamicAddress
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, embedSystemFonts
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, embedTrueTypeFonts
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, emboss
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, enabled
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, evenAndOddHeaders
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, fHdr
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, flatBorders
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, footnoteLayoutLikeWW8
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, forgetLastTabAlignment
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, formProt
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, formsDesign
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, growAutofit
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, gutterAtTop
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, hidden
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, hideGrammaticalErrors
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, hideMark
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, hideSpellingErrors
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, i
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, iCs
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, ignoreMixedContent
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, imprint
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, isLgl
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, keepLines
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, keepNext
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, kinsoku
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, layoutRawTableWidth
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, layoutTableRowsApart
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, lineWrapLikeWord6
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, linkStyles
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, linkToQuery
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, linkedToFile
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, locked
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, mailAsAttachment
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, matchSrc
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, mirrorIndents
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, mirrorMargins
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, mwSmallCaps
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noBorder
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noColumnBalance
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noEndnote
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noExtraLineSpacing
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noLeading
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noProof
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noPunctuationKerning
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noResizeAllowed
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noSpaceRaiseLower
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noTabHangInd
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, noWrap
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, notTrueType
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, oMath
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, optimizeForBrowser
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, outline
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, overflowPunct
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, pageBreakBefore
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, personal
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, personalCompose
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, personalReply
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, printBodyTextBeforeHeader
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, printColBlack
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, printFormsData
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, printFractionalCharacterWidth
